date,asf,of
2015-11,,1.1
2015-12,,0.8
2016-01,,-3.5
2016-02,,-1.3
2016-03,,5.2
2016-04,,0.5
2016-05,12.6,4.3
2016-06,-5.3,-0.5
2016-07,8.9,5.1
2016-08,3.2,1.7
2016-09,0.6,0.7
2016-10,-0.7,-1.1
2016-11,-0.1,0.4
2016-12,-0.8,-0.4
2017-01,5.7,3
2017-02,-0.5,0.4
2017-03,4.2,2.2
2017-04,-0.3,0.3
2017-05,1.3,-0.4
2017-06,-0.3,-0.1
2017-07,-1.6,-0.3
2017-08,-1,-0.1
2017-09,1.1,0.8
2017-10,1.3,0.9
2017-11,-1.6,-0.3
