"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
68656,9/30/2016 0:00:00,4497,"OREGON STATE",230,"OSU FCU Financial Services, LLC"
68656,9/30/2016 0:00:00,4497,"OREGON STATE",415,"OR State CU Investment Services"
68658,9/30/2016 0:00:00,4037,"FINANCIAL CENTER FIRST",21,"Financial Center"
68671,9/30/2016 0:00:00,5712,"ENT",4,"Ent"
81540,9/30/2016 0:00:00,21531,"DANVILLE BELL",102,"Danville Bell Credit Union"
82791,9/30/2016 0:00:00,21640,"BEACON",462,"Beacon Trust Services"
82791,9/30/2016 0:00:00,21640,"BEACON",463,"Beacon Investment Services"
82791,9/30/2016 0:00:00,21640,"BEACON",464,"Beacon Ag Group"
95015,9/30/2016 0:00:00,23038,"KANE COUNTY TEACHERS",455,"KCTCU"
95015,9/30/2016 0:00:00,23038,"KANE COUNTY TEACHERS",456,"KCT Credit Union"
95073,9/30/2016 0:00:00,23096,"MID-CITIES FINANCIAL",544,"Mid Cities CU"
95073,9/30/2016 0:00:00,23096,"MID-CITIES FINANCIAL",545,"Mid Cities Credit Union"
95073,9/30/2016 0:00:00,23096,"MID-CITIES FINANCIAL",546,"MCCU"
96071,9/30/2016 0:00:00,24103,"ABBOTT LABORATORIES",358,"ALEC"
96719,9/30/2016 0:00:00,25273,"GORMAN-RUPP & ASSOCIATES",245,"GROhio Community Credit Union"
97059,9/30/2016 0:00:00,15711,"EARTHMOVER",226,"Panther Credit Union"
97068,9/30/2016 0:00:00,16728,"CHRISTIAN COMMUNITY",63,"The Credit Union"
97068,9/30/2016 0:00:00,16728,"CHRISTIAN COMMUNITY",64,"Christian Community CU"
97068,9/30/2016 0:00:00,16728,"CHRISTIAN COMMUNITY",305,"CCCU"
97068,9/30/2016 0:00:00,16728,"CHRISTIAN COMMUNITY",393,"myCCCU"
97084,9/30/2016 0:00:00,15785,"DUPAGE",439,"DuPage Mortgage"
