"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
24702,9/30/2016 0:00:00,14570,"GULF WINDS",461,"gogulfwinds.com"
24725,9/30/2016 0:00:00,18272,"OHIO HEALTHCARE",191,"MedPro"
24725,9/30/2016 0:00:00,18272,"OHIO HEALTHCARE",192,"HealthCare Credit Union System"
24742,9/30/2016 0:00:00,17005,"HERITAGE FAMILY",12,"Heritage Family Credit Union"
24746,9/30/2016 0:00:00,21072,"HORIZON UTAH",301,"Horizon Credit Union"
24802,9/30/2016 0:00:00,26418,"SELF-HELP",334,"Second Federal"
24808,9/30/2016 0:00:00,14628,"CHARLOTTE METRO",412,"Charlotte Metro Credit Union"
24812,9/30/2016 0:00:00,15005,"TULSA",90,"Tulsa Federal CU"
24812,9/30/2016 0:00:00,15005,"TULSA",91,"Tulsa Federal"
24812,9/30/2016 0:00:00,15005,"TULSA",92,"Tulsa FCU"
24816,9/30/2016 0:00:00,14589,"PRECISION",350,"Precision Credit Union"
24824,9/30/2016 0:00:00,15308,"S. C. STATE",247,"SCU"
24824,9/30/2016 0:00:00,15308,"S. C. STATE",290,"State Credit Union"
60042,9/30/2016 0:00:00,14524,"WASHINGTON STATE EMPLOYEES",95,"WSECU"
60042,9/30/2016 0:00:00,14524,"WASHINGTON STATE EMPLOYEES",446,"Q-Cash"
60042,9/30/2016 0:00:00,14524,"WASHINGTON STATE EMPLOYEES",458,"WSECU Service Company LLC"
60042,9/30/2016 0:00:00,14524,"WASHINGTON STATE EMPLOYEES",459,"Q-Cash Financial LLC"
60042,9/30/2016 0:00:00,14524,"WASHINGTON STATE EMPLOYEES",460,"One Washington Financial"
60042,9/30/2016 0:00:00,14524,"WASHINGTON STATE EMPLOYEES",511,"Washington Captial Investment Gr"
60042,9/30/2016 0:00:00,14524,"WASHINGTON STATE EMPLOYEES",512,"Washington Capital Mortgage Grou"
60042,9/30/2016 0:00:00,14524,"WASHINGTON STATE EMPLOYEES",541,"One Washington"
60042,9/30/2016 0:00:00,14524,"WASHINGTON STATE EMPLOYEES",542,"CU Cash"
60056,9/30/2016 0:00:00,14535,"CONSUMER",493,"Covenant Health Credit Union"
60238,9/30/2016 0:00:00,14704,"GREAT LAKES",314,"GLCU"
60356,9/30/2016 0:00:00,14807,"ALLIED TRADES",288,"Allied Credit Union"
60520,9/30/2016 0:00:00,14954,"EDUCATIONAL EMPLOYEES",210,"EECU"
60716,9/30/2016 0:00:00,15129,"BUFFALO SERVICE",448,"BSCU"
