Bank Name / Holding Co Name	Nat'l Rank	Bank ID	Bank Location	Charter	Consol Assets (Mil $)	Domestic Assets (Mil $)	Pct Domestic Assets	Pct Cumulative Assets	Domestic Branches	Foreign Branches	IBF	Pct Foreign Owned
PEOPLES B&TC CO/LINCOLN CTY BC	1229	909055	TROY, MO	SMB	454	454	100	99	6	0	N	0.00
MARIES CTY BK/MARIES CTY BC	1230	441359	VIENNA, MO	SNM	454	454	100	99	10	0	N	0.00
FIRST NB/FIRST NAT BSHRS	1231	583352	HUNTSVILLE, TX	NAT	454	454	100	99	4	0	N	0.00
CATSKILL HUDSON BK/CATSKILL HUDSON BC	1232	2132594	MONTICELLO, NY	SNM	452	452	100	99	12	0	N	0.00
TIOGA ST BK/TSB SVC	1233	910118	SPENCER, NY	SMB	452	452	100	99	10	0	N	0.00
FIRST NB&TC/FIRST OF MCALESTER CORP	1234	830355	MCALESTER, OK	NAT	452	452	100	99	3	0	N	0.00
AMERICAN BK/NEB CORP	1235	658540	FOND DU LAC, WI	SNM	451	451	100	99	5	0	N	0.00
GREATER HUDSON BK/	1236	3086256	BARDONIA, NY	SNM	450	450	100	99	4	0	N	0.00
MIDWEST RGNL BK/MIDWEST RGNL BC	1237	691958	FESTUS, MO	SNM	449	449	100	99	2	0	N	0.00
CITIZENS ST BK/CSB BSHRS	1238	261360	SOMERVILLE, TX	SNM	448	448	100	99	5	0	N	0.00
SPRINGFIELD FIRST CMNTY BK/SPRINGFIELD BSHRS	1239	3804535	SPRINGFIELD, MO	SNM	448	448	100	99	0	0	N	0.00
FARMERS & MRCH BK/FMB BKG CORP	1240	271631	MONTICELLO, FL	SNM	447	447	100	99	5	0	N	0.00
RIVER BK/RIVER HC	1241	279842	STODDARD, WI	SNM	446	446	100	99	10	0	N	0.00
HARDIN CTY BK/HARDIN CTY BSHRS	1242	526854	SAVANNAH, TN	SNM	446	446	100	99	4	0	N	0.00
MIDWEST BK/WESTERN IL BSHRS	1243	709143	MONMOUTH, IL	SMB	446	446	100	99	7	0	N	0.00
