Bank Name / Holding Co Name	Nat'l Rank	Bank ID	Bank Location	Charter	Consol Assets (Mil $)	Domestic Assets (Mil $)	Pct Domestic Assets	Pct Cumulative Assets	Domestic Branches	Foreign Branches	IBF	Pct Foreign Owned
FIRST NB OF CARMI/SOUTHERN IL BANCORP	1396	209148	CARMI, IL	NAT	394	394	100	99	9	0	N	0.00
VISTA BK/VISTA BSHRS	1397	645465	RALLS, TX	SMB	394	394	100	99	10	0	N	0.00
FNBT BK/SOUTHERN NB	1398	697231	FORT WALTON BEACH, FL	SNM	393	393	100	99	9	0	N	0.00
CITIZENS B&TC/CITIZENS B&T HOLD	1399	3174920	GUNTERSVILLE, AL	SNM	393	393	100	99	6	0	N	0.00
GENERATIONS BK/HARRELL BSHRS	1400	329345	HAMPTON, AR	SNM	393	393	100	99	8	0	N	0.00
PEOPLES BK/PEOPLES CORP	1401	593249	RIPLEY, MS	SNM	393	393	100	99	5	0	N	0.00
PARKSIDE FNCL B&TC/PARKSIDE FNCL	1402	3688043	CLAYTON, MO	SNM	393	393	100	99	0	0	N	0.00
FIRST NB OF BERLIN/FIRST BERLIN BC	1403	111942	BERLIN, WI	NAT	392	392	100	99	7	0	N	0.00
GREENVILLE NB/GREENVILLE NAT BC	1404	295011	GREENVILLE, OH	NAT	392	392	100	99	8	0	N	0.00
MERCER CTY ST BK/MERCER CTY ST BC	1405	866121	SANDY LAKE, PA	SNM	392	392	100	99	9	0	N	0.00
LABETTE BK/LABETTE CTY BSHRS	1406	483751	ALTAMONT, KS	SNM	391	391	100	99	9	0	N	0.00
PROFESSIONAL BK/PROFESSIONAL HOLD CORP	1407	3816510	CORAL GABLES, FL	SMB	391	391	100	99	2	0	N	0.00
FIRST ST BK/FIRST ST BC	1408	294023	WINCHESTER, OH	SNM	390	390	100	99	9	0	N	0.00
PEOPLES B&T/PEOPLE FIRST BSHRS	1409	922344	PANA, IL	SNM	390	390	100	99	10	0	N	0.00
FIRST BK OF AL/FIRST NAT TALLADEGA CORP	1410	257233	TALLADEGA, AL	SNM	390	390	100	99	2	0	N	0.00
BANK OF SOUTHERN CA NA/	1411	3076453	SAN DIEGO, CA	NAT	390	390	100	99	6	0	N	0.00
STATE BK OF LIZTON/LIZTON FC	1412	345747	LIZTON, IN	SNM	390	390	100	99	11	0	N	0.00
CITIZENS BK/CITIZENS CORP	1413	514132	COLUMBIA, MS	SNM	389	389	100	99	7	0	N	0.00
NORTH AMER BKG CO/N A CORP	1414	2631846	ROSEVILLE, MN	SMB	389	389	100	99	3	0	N	0.00
KAW VALLEY BK/KAW VALLEY BC	1415	485456	TOPEKA, KS	SNM	388	388	100	99	8	0	N	0.00
NORTHEAST BK/NORTHEAST SECURITIES CORP	1416	689357	MINNEAPOLIS, MN	SNM	388	388	100	99	2	0	N	0.00
CITIZENS B&TC/FIRST BK CORP	1417	192147	VAN BUREN, AR	SMB	388	388	100	99	6	0	N	0.00
DEMOTTE ST BK/DEMOTTE BC	1418	539340	DEMOTTE, IN	SMB	388	388	100	99	10	0	N	0.00
MAUCH CHUNK TC/MAUCH CHUNK TR FC	1419	857811	JIM THORPE, PA	SNM	388	388	100	99	6	0	N	0.00
ESQUIRE BK NA/ESQUIRE FNCL HOLDS	1420	3447820	GARDEN CITY, NY	NAT	387	387	100	99	1	0	N	0.00
WEST SHORE BK/WEST SHORE BK CORP	1421	832546	LUDINGTON, MI	SNM	387	387	100	99	5	0	N	0.00
APEX BK/CLAYTON HC	1422	51253	CAMDEN, TN	SNM	386	386	100	99	8	0	N	0.00
FIRST NB/PINNACLE BSHRS CORP	1423	979629	ALTAVISTA, VA	NAT	386	386	100	99	7	0	N	0.00
MERCHANTS & FARMERS B&TC/MERCHANTS & FARMERS BSHRS	1424	136338	LEESVILLE, LA	SNM	385	385	100	99	6	0	N	0.00
BANK OF PRAIRIE DU SAC/PLOETZ INV LP	1425	997847	PRAIRIE DU SAC, WI	SNM	384	384	100	99	1	0	N	0.00
FIRST NB&TC/CRACO	1426	288358	VINITA, OK	NAT	384	384	100	99	3	0	N	0.00
MAIN ST BK CORP/MAIN ST FS CORP	1427	3034695	WHEELING, WV	SNM	384	384	100	99	3	0	N	0.00
MUNCY B&TC/MUNCY BK FNCL	1428	141211	MUNCY, PA	SNM	384	384	100	99	4	0	N	0.00
ENCORE BK NA/OVATION HOLD	1429	3603457	NAPLES, FL	NAT	384	384	100	99	5	0	N	0.00
FNBC BK/FNBC BC	1430	100843	ASH FLAT, AR	SMB	383	383	100	99	12	0	N	0.00
HORRY CTY ST BK/HCSB FC	1431	1162530	LORIS, SC	SNM	383	383	100	99	7	0	N	0.00
21ST CENTURY BK/DOLPHIN FAMILY MGMT CO	1432	340256	LORETTO, MN	SNM	383	383	100	99	6	0	N	0.00
MACON B&TC/MACON BANCTRUST	1433	709639	LAFAYETTE, TN	SNM	382	382	100	99	6	0	N	0.00
FIRST RELIANCE BK/FIRST RELIANCE BSHRS	1434	2839790	FLORENCE, SC	SNM	382	382	100	99	5	0	N	0.00
RSNB BK/RSNB BC	1435	550952	ROCK SPRINGS, WY	SMB	382	382	100	99	1	0	N	0.00
FIRST NB OF EAST ARKANSAS/BANCSHARES OF EASTERN AR	1436	251745	FORREST CITY, AR	NAT	382	382	100	99	13	0	N	0.00
FORTIS PRIV BK/FRB BSHRS	1437	2515320	LAKEWOOD, CO	SNM	382	382	100	99	2	0	N	0.00
FIRST MW BK OF POPLAR BLUFF/POPLAR BLUFF BANC CO	1438	228158	POPLAR BLUFF, MO	SNM	381	381	100	99	6	0	N	0.00
GULF COAST BK/GULF COAST BSHRS	1439	459130	ABBEVILLE, LA	SNM	379	379	100	99	15	0	N	0.00
STATE BK/RIGLER INV CO	1440	231149	NEW HAMPTON, IA	SMB	379	379	100	99	7	0	N	0.00
SEAWAY B&TC/SEAWAY BSHRS	1441	673431	CHICAGO, IL	SNM	379	379	100	99	10	0	N	0.00
BANKFIRST/NORTH CENTRAL BC	1442	117458	NORFOLK, NE	SNM	379	379	100	99	7	0	N	0.00
FIRST CMRL BK/FIRST CMRL BSHRS	1443	2948058	JACKSON, MS	SNM	378	378	100	99	3	0	N	0.00
CITIZENS NB OF SOMERSET/CITIZENS BSHRS	1444	410917	SOMERSET, KY	NAT	378	378	100	99	9	0	N	0.00
TRADERS & FARMERS BK/TRADERS & FARMERS BSHRS	1445	390336	HALEYVILLE, AL	SNM	378	378	100	99	9	0	N	0.00
FIRST ST BK/VAN DIEST INV CO	1446	561145	WEBSTER CITY, IA	SNM	378	378	100	99	5	0	N	0.00
DEPARTMENT STORES NB/CITIGROUP	1447	3382547	SIOUX FALLS, SD	NAT	377	377	100	99	0	0	N	0.00
WEST MILTON ST BK/SUSQUEHANNA CMNTY FNCL	1448	556011	WEST MILTON, PA	SNM	377	377	100	99	5	0	N	0.00
HERITAGE BK NA/HERITAGE BSHRS GRP	1449	901358	SPICER, MN	NAT	377	377	100	99	11	0	N	0.00
EVOLVE B&TC/EVOLVE BC	1450	592448	WEST MEMPHIS, AR	SMB	377	377	100	99	4	0	N	0.00
GREER ST BK/GREER BSHRS	1451	1356526	GREER, SC	SNM	377	377	100	99	3	0	N	0.00
CITIZENS ST BK/HERKY HAWK FNCL CORP	1452	795548	MONTICELLO, IA	SNM	377	377	100	99	6	0	N	0.00
WOODLANDS BK/WOODLANDS FS CO	1453	1479470	WILLIAMSPORT, PA	SMB	376	376	100	99	7	0	N	0.00
AMERICAN NATION BK/AMCORP FNCL	1454	256058	ARDMORE, OK	SMB	376	376	100	99	7	0	N	0.00
BANK OF ELK RIVER/METRO NORTH BSHRS	1455	10250	ELK RIVER, MN	SNM	376	376	100	99	4	0	N	0.00
CLINTON NB/WJ YOUNG & CO	1456	773443	CLINTON, IA	NAT	376	376	100	99	8	0	N	0.00
FIRST ST BK/LOUISE BSHRS	1457	888552	LOUISE, TX	SNM	376	376	100	99	8	0	N	0.00
LUZERNE BK/PENNS WOODS BC	1458	501815	LUZERNE, PA	SNM	376	376	100	99	7	0	N	0.00
FLORIDIAN CMNTY BK/FLORIDIAN CMNTY HOLD	1459	3176812	DAVIE, FL	SNM	376	376	100	99	3	0	N	0.00
MID AMER BK/FRIENDSHIP BSHRS	1460	873259	LINN, MO	SNM	376	376	100	99	4	0	N	0.00
NATIONAL BK OF DELAWARE CTY WA/DELAWARE BSHRS	1461	281210	WALTON, NY	NAT	375	375	100	99	11	0	N	0.00
PLAINS ST BK/PLAINS ACQ CORP	1462	972862	HUMBLE, TX	SNM	375	375	100	99	3	0	N	0.00
EXECUTIVE NB/EXECUTIVE BKG CORP	1463	1002430	MIAMI, FL	NAT	375	375	100	99	3	0	N	0.00
FIRST S ST BK/FIRST BSHRS OF STEVENSON	1464	246134	STEVENSON, AL	SNM	375	375	100	99	7	0	N	0.00
WOODTRUST BK/WOODTRUST FC	1465	833749	WISCONSIN RAPIDS, WI	SMB	375	375	100	99	5	0	N	0.00
YORK TRADITIONS BK/	1466	3145797	YORK, PA	SNM	374	374	100	99	4	0	N	0.00
CITIZENS BK/EAST TX FC	1467	744854	KILGORE, TX	SNM	374	374	100	99	10	0	N	0.00
FIRST NB OK/FIRST BC OF OK	1468	525053	OKLAHOMA CITY, OK	NAT	374	374	100	99	3	0	N	0.00
CAROLINA TR BK/	1469	2966614	LINCOLNTON, NC	SNM	374	374	100	99	8	0	N	0.00
METAIRIE B&TC/	1470	55336	METAIRIE, LA	SNM	374	374	100	99	7	0	N	0.00
FIRST NB OF CLARKSDALE/FIRST VALLEY NAT CORP	1471	11640	CLARKSDALE, MS	NAT	374	374	100	99	4	0	N	0.00
EASTERN COLORADO BK/WEED INV GROUP	1472	775054	CHEYENNE WELLS, CO	SNM	373	373	100	99	6	0	N	0.00
MIDWEST BK/MIDWEST BK GROUP	1473	806958	DETROIT LAKES, MN	SNM	373	373	100	99	6	0	N	0.00
FSNB NA/JRMB II	1474	125154	LAWTON, OK	NAT	373	373	100	99	84	0	N	0.00
F&M BK/F&M BSHRS	1475	163857	EDMOND, OK	SNM	372	372	100	99	7	0	N	0.00
FNB BK/FNS BSHRS	1476	441434	SCOTTSBORO, AL	SNM	372	372	100	99	8	0	N	0.00
LEGACY NB/	1477	3306280	SPRINGDALE, AR	NAT	372	372	100	99	3	0	N	0.00
IOWA ST BK/IOWA ST BHC	1478	662949	DES MOINES, IA	SNM	371	371	100	99	4	0	N	0.00
PEOPLES ST BK/	1479	326344	NEWTON, IL	SNM	371	371	100	99	5	0	N	0.00
MARS NB/MARS NAT BC	1480	978622	MARS, PA	NAT	370	370	100	99	4	0	N	0.00
GIBSLAND B&TC/GIBSLAND BSHRS	1481	734350	GIBSLAND, LA	SNM	370	370	100	99	7	0	N	0.00
FIRST IPSWICH BK/BROOKLINE BC	1482	442806	IPSWICH, MA	SMB	370	370	100	99	4	0	N	0.00
FREDERICK CTY BK/FREDERICK CTY BC	1483	3058329	FREDERICK, MD	SMB	370	370	100	99	4	0	N	0.00
BANK OF CHARLES TOWN/POTOMAC BSHRS	1484	1014125	CHARLES TOWN, WV	SNM	370	370	100	99	6	0	N	0.00
TEXAS FIRST ST BK/TEXAS FIRST BSHRS	1485	655660	RIESEL, TX	SNM	369	369	100	99	5	0	N	0.00
CLEAR LAKE B&TC/ARNESON BSHRS	1486	865544	CLEAR LAKE, IA	SMB	369	369	100	99	4	0	N	0.00
FARMERS T&SB/EASTER ENT	1487	543945	SPENCER, IA	SNM	368	368	100	99	0	0	N	0.00
FARMERS & MRCH BK/	1488	891226	UPPERCO, MD	SNM	368	368	100	99	6	0	N	0.00
COMMUNITY BK/COMMUNITY BSHRS	1489	779360	JOSEPH, OR	SNM	368	368	100	99	13	0	N	0.00
CITIZENS BK/CBC	1490	710859	CLOVIS, NM	SNM	368	368	100	99	4	0	N	0.00
BANK OF OAK RIDGE/OAK RIDGE FS	1491	2903123	OAK RIDGE, NC	SNM	368	368	100	99	3	0	N	0.00
ALL AMER BK/	1492	25357	OKLAHOMA CITY, OK	SNM	368	368	100	99	6	0	N	0.00
GOLD COAST BK/GC BC	1493	3593307	CHICAGO, IL	SNM	367	367	100	99	0	0	N	0.00
FREEDOM BK/FREEDOM BC	1494	2858492	HUNTINGBURG, IN	SNM	367	367	100	99	3	0	N	0.00
FIRST ST BK/NEBRASKA BSHRS	1495	151957	GOTHENBURG, NE	SNM	367	367	100	99	4	0	N	0.00
FARMERS ST BK/FARMERS BSHRS	1496	875057	CENTER, TX	SNM	366	366	100	99	5	0	N	0.00
EVABANK/	1497	498531	EVA, AL	SNM	366	366	100	99	5	0	N	0.00
COMMERCIAL BK & TR OF PA/COMMERCIAL NAT FNCL CORP	1498	945026	LATROBE, PA	SNM	366	366	100	99	9	0	N	0.00
VALLIANCE BK/VALLIANCE FC	1499	3267738	OKLAHOMA CITY, OK	SNM	366	366	100	99	2	0	N	0.00
SIGNATURE BK/SIGNATURE BSHRS	1500	3207921	MINNETONKA, MN	SNM	366	366	100	99	0	0	N	0.00
PUEBLO B&TC/PUEBLO BC	1501	106452	PUEBLO, CO	SNM	366	366	100	99	8	0	N	0.00
KARNES CTY NB/	1502	979759	KARNES CITY, TX	NAT	365	365	100	99	1	0	N	0.00
COUNTYBANK/TCB CORP	1503	271529	GREENWOOD, SC	SNM	365	365	100	99	4	0	N	0.00
FIRST BK/FIRST BURKBURNETT BSHRS	1504	239659	BURKBURNETT, TX	SNM	365	365	100	99	5	0	N	0.00
REPUBLIC BK/REPUBLIC BSHRS	1505	316354	DULUTH, MN	SNM	365	365	100	99	6	0	N	0.00
FIRST CMNTY BK/SOUTHWEST BANC SHARES	1506	186838	CHATOM, AL	SNM	364	364	100	99	9	0	N	0.00
FLORIDA CAP BK NA/FLORIDA CAP GRP	1507	188430	JACKSONVILLE, FL	NAT	364	364	100	99	3	0	N	0.00
FIRST CHATHAM BK/FCB FNCL CORP	1508	3075474	SAVANNAH, GA	SNM	364	364	100	99	6	0	N	0.00
CENTENNIAL BK/F&M BSHRS	1509	531250	TREZEVANT, TN	SNM	363	363	100	99	8	0	N	0.00
PROFINIUM/PROFINIUM FNCL HOLD	1510	865450	TRUMAN, MN	SMB	363	363	100	99	3	0	N	0.00
CITIZENS BK MN/CITIZENS BC OF NEW ULM	1511	874050	NEW ULM, MN	SNM	363	363	100	99	3	0	N	0.00
RAYNE ST B&TC/FINANCIAL CORP OF LA	1512	900034	RAYNE, LA	SNM	363	363	100	99	6	0	N	0.00
PRIMEBANK/PRIMEBANK	1513	671147	LE MARS, IA	SMB	363	363	100	99	2	0	N	0.00
SUMMIT BK NA/SUMMIT FNCL ENT	1514	3696936	PANAMA CITY, FL	NAT	363	363	100	99	3	0	N	0.00
FARMERS BK OF NORTHERN MO/NORTHERN MO BSHRS	1515	303952	UNIONVILLE, MO	SMB	361	361	100	99	8	0	N	0.00
FIRST NB IN HOWELL/FNBH BC	1516	755047	HOWELL, MI	NAT	361	361	100	99	8	0	N	0.00
PRIMESOUTH BK/JONES BSHRS	1517	1011638	BLACKSHEAR, GA	SNM	361	361	100	99	3	0	N	0.00
WHEATLAND BK/COMMUNITY FNCL GRP	1518	129479	SPOKANE, WA	SNM	361	361	100	99	13	0	N	0.00
GRAND SVG BK/GRAND BC	1519	732178	GROVE, OK	SNM	360	360	100	99	6	0	N	0.00
BANK OF TESCOTT/TESCOTT BSHRS	1520	54058	TESCOTT, KS	SNM	360	360	100	99	4	0	N	0.00
PREMIER CMNTY BK/PREMIER CMRL BC	1521	2802664	HILLSBORO, OR	SNM	360	360	100	99	4	0	N	0.00
REGENT BK/REGENT BC	1522	1008731	DAVIE, FL	SNM	360	360	100	99	4	0	N	0.00
MERCHANTS BK OF BANGOR/MNB CORP	1523	935111	BANGOR, PA	SMB	359	359	100	99	8	0	N	0.00
TEXAS STAR BK/VAN ALSTYNE FC	1524	274164	VAN ALSTYNE, TX	SMB	359	359	100	99	6	0	N	0.00
SOUTHTRUST BK NA/LIVE OAK BSHRS CORP	1525	521158	GEORGE WEST, TX	NAT	358	358	100	99	5	0	N	0.00
PEOPLES BK/PEOPLES BSHRS	1526	530655	PRATT, KS	SMB	358	358	100	99	8	0	N	0.00
BANK OF MARION/SOUTHWEST VA BSHRS	1527	858528	MARION, VA	SMB	358	358	100	99	14	0	N	0.00
POINTS WEST CMNTY BK/FIRST NE BANCS	1528	654252	SIDNEY, NE	SNM	357	357	100	99	9	0	N	0.00
PHELPS CTY BK/PHELPS CTY BK ESOP	1529	342054	ROLLA, MO	SNM	356	356	100	99	3	0	N	0.00
SAUK VALLEY B&TC/S V FNCL	1530	2797162	STERLING, IL	SNM	356	356	100	99	3	0	N	0.00
CAPITAL BK/JSA FAM LP	1531	596156	HOUSTON, TX	SNM	356	356	100	99	10	0	N	0.00
WEST MI CMNTY BK/	1532	715340	HUDSONVILLE, MI	SNM	355	355	100	99	6	0	N	0.00
FIRST NB/FNB CO	1533	630658	LIVINGSTON, TX	NAT	355	355	100	99	2	0	N	0.00
FIRST ST BK OF ST CHARLES MO/FIRST ST BSHRS	1534	345756	SAINT CHARLES, MO	SNM	355	355	100	99	4	0	N	0.00
WEST PLAINS B&TC/WEST PLAINS BSHRS	1535	317258	WEST PLAINS, MO	SNM	355	355	100	99	4	0	N	0.00
ROYAL BK/ROYAL BSHRS	1536	532042	ELROY, WI	SNM	354	354	100	99	15	0	N	0.00
ALTAPACIFIC BK/ALTAPACIFIC BC	1537	3453737	SANTA ROSA, CA	SMB	354	354	100	99	4	0	N	0.00
BANK NA/NBM CORP	1538	829050	MCALESTER, OK	NAT	354	354	100	99	4	0	N	0.00
TRISUMMIT BK/TRISUMMIT BC	1539	3546899	KINGSPORT, TN	SMB	354	354	100	99	5	0	N	0.00
BANK OF VA/CORDIA BC	1540	3198421	MIDLOTHIAN, VA	SMB	354	354	100	99	5	0	N	0.00
FIRST FIDELITY BK/FIDELITY CORP	1541	80150	BURKE, SD	SNM	354	354	100	99	6	0	N	0.00
GRAND VALLEY BK/PORTER MNT III LLLP	1542	178851	HEBER CITY, UT	SNM	354	354	100	99	14	0	N	0.00
TEXAS CHAMPION BK/MESQUITE FNCL SVC	1543	579364	CORPUS CHRISTI, TX	SNM	354	354	100	99	10	0	N	0.00
PROVIDENT ST BK/PSB HOLDING CORP	1544	169327	PRESTON, MD	SNM	353	353	100	99	6	0	N	0.00
CAMPBELL FETTER BK/C&F BANC SHARES CORP	1545	398248	KENDALLVILLE, IN	SNM	352	352	100	99	8	0	N	0.00
INTERNATIONAL FNC BK/	1546	867632	MIAMI, FL	SNM	352	352	100	99	4	0	Y	0.00
PEOPLES NB/WINTER TR OF 12/3/74	1547	602356	COLORADO SPRINGS, CO	NAT	352	352	100	99	5	0	N	0.00
CITIZENS B&TC/CITIZENS BC OF VA	1548	991621	BLACKSTONE, VA	SMB	352	352	100	99	10	0	N	0.00
DART BK/DART FC	1549	47247	MASON, MI	SNM	352	352	100	99	3	0	N	0.00
UNITED MS BK/SOUTHWEST SCTY	1550	544335	NATCHEZ, MS	SNM	352	352	100	99	11	0	N	0.00
FIRST FL BK/FIRST FL BC	1551	3525577	DESTIN, FL	SMB	351	351	100	99	3	0	N	0.00
GERMANTOWN T&SB/GERMANTOWN BANC CORP	1552	830748	BREESE, IL	SNM	351	351	100	99	3	0	N	0.00
FARMERS ST BK/FARMERS ST FC	1553	475354	VICTOR, MT	SMB	351	351	100	99	6	0	N	0.00
BANK OF BARTLETT/WEST TENNESSEE BSHRS	1554	225559	BARTLETT, TN	SMB	350	350	100	99	7	0	N	0.00
FIRST NB OF LA/FINANCIAL CORP OF LA	1555	575834	CROWLEY, LA	NAT	350	350	100	99	4	0	N	0.00
FIRST WESTERN BK/FIRST WESTERN BSHRS ESOT	1556	34742	BOONEVILLE, AR	SMB	350	350	100	99	9	0	N	0.00
BANK OF COMMERCE/COMMERCE BC	1557	99442	GREENWOOD, MS	SNM	350	350	100	99	3	0	N	0.00
BANK OF EASTERN OR/BEO BC	1558	14865	HEPPNER, OR	SNM	350	350	100	99	12	0	N	0.00
AMG NAT TR BK/AMG NAT CORP	1559	3015939	BOULDER, CO	NAT	349	349	100	99	1	0	N	0.00
FIRST CENT ST BK/OHNWARD BSHRS	1560	639549	DE WITT, IA	SNM	349	349	100	99	3	0	N	0.00
AMERICAN BK/GUARANTY DEVELOPMENT CO	1561	630555	BOZEMAN, MT	SMB	348	348	100	99	5	0	N	0.00
PEOPLES EXCH BK/GENBEACH CO	1562	129910	WINCHESTER, KY	SNM	348	348	100	99	9	0	N	0.00
FNB BK NA/FULTON FNCL CORP	1563	131418	DANVILLE, PA	NAT	348	348	100	99	6	0	N	0.00
SOUTHWESTERN NB/SWNB BC	1564	2625724	HOUSTON, TX	NAT	348	348	100	99	4	0	N	0.00
BANK/DECATUR INV	1565	333650	OBERLIN, KS	SNM	347	347	100	99	10	0	N	0.00
MOHAVE ST BK/STATE BK CORP	1566	1897270	LAKE HAVASU CITY, AZ	SNM	346	346	100	99	4	0	N	0.00
BELMONT B&TC/BELMONT FNCL GRP	1567	3391718	CHICAGO, IL	SNM	346	346	100	100	1	0	N	0.00
WASHINGTON CTY BK/BLAIR HOLDS	1568	1000052	BLAIR, NE	SNM	346	346	100	100	1	0	N	0.00
FIRST NB S/FIRST BSHRS OF THE SE	1569	12030	ALMA, GA	NAT	345	345	100	100	3	0	N	0.00
SOUTHWEST CAP BK/LAS VEGAS BC	1570	206156	ALBUQUERQUE, NM	SNM	345	345	100	100	4	0	N	0.00
FIRST NB/FIRST FABENS BC	1571	378651	FABENS, TX	NAT	345	345	100	100	6	0	N	0.00
SAVINGS BK/SAVINGS BC	1572	578116	CIRCLEVILLE, OH	SNM	345	345	100	100	4	0	N	0.00
CITIZENS CMNTY BK/CITIZENS BANCORP	1573	2007991	MASCOUTAH, IL	SNM	345	345	100	100	3	0	N	0.00
BANK OF BOTETOURT/	1574	759625	BUCHANAN, VA	SNM	345	345	100	100	9	0	N	0.00
FIRST CMNTY BK OF CENT AL/CENTRAL AL BSHRS	1575	3034257	WETUMPKA, AL	SNM	344	344	100	100	6	0	N	0.00
HOME FED BK CORP/HFB FNCL CORP	1576	902672	MIDDLESBORO, KY	SNM	344	344	100	100	5	0	N	0.00
BANK OF ENGLAND/MHBC INV I LLLP	1577	244149	ENGLAND, AR	SNM	344	344	100	100	5	0	N	0.00
CALLAWAY BK/CALLAWAY SCTY BKS	1578	719656	FULTON, MO	SMB	344	344	100	100	9	0	N	0.00
CROSSROADS BK/FFW CORP	1579	228279	WABASH, IN	SNM	344	344	100	100	5	0	N	0.00
PREMIER BK/PREMIER HOLDS	1580	2539960	ROCK VALLEY, IA	SNM	344	344	100	100	3	0	N	0.00
STATE BK OF LINCOLN/LINCOLN SB CORP	1581	490535	LINCOLN, IL	SNM	344	344	100	100	5	0	N	0.00
TEXAS BK/HENDERSON TX BSHRS	1582	414764	HENDERSON, TX	SNM	344	344	100	100	6	0	N	0.00
MIDAMERICA NB/MIDAMERICA NAT BSHRS	1583	510938	CANTON, IL	NAT	343	343	100	100	4	0	N	0.00
LIBERTY NB/LIBERTY FS	1584	3140822	SIOUX CITY, IA	NAT	343	343	100	100	9	0	N	0.00
HIGHLANDS ST BK/HIGHLANDS BC	1585	3386590	VERNON, NJ	SNM	343	343	100	100	3	0	N	0.00
INTERCREDIT BK NA/	1586	44433	MIAMI, FL	NAT	343	343	100	100	4	0	N	0.00
AMERICAN ST B&TC/AMERICAN ST BSHRS	1587	2957014	GREAT BEND, KS	SMB	343	343	100	100	6	0	N	0.00
FIRST ST BK IL/FIRST STATE BC	1588	953535	PEORIA, IL	SNM	343	343	100	100	8	0	N	0.00
ABBYBANK/ABBY BC	1589	198149	ABBOTSFORD, WI	SNM	342	342	100	100	2	0	N	0.00
M C B&TC/M C BSHRS	1590	1003839	MORGAN CITY, LA	SNM	342	342	100	100	5	0	N	0.00
CHIPPEWA VALLEY BK/CHIPPEWA VALLEY AGY LTD	1591	779650	WINTER, WI	SNM	342	342	100	100	15	0	N	0.00
COMMERCIAL SVG BK/COMMERCIAL BSHRS	1592	533928	UPPER SANDUSKY, OH	SNM	342	342	100	100	6	0	N	0.00
WELLINGTON ST BK/WSB BSHRS	1593	371362	WELLINGTON, TX	SMB	341	341	100	100	9	0	N	0.00
HEARTLAND NB/HEARTLAND BSHRS	1594	2800491	SEBRING, FL	NAT	341	341	100	100	3	0	N	0.00
SPRINGS VALLEY B&TC/SVB&T CORP	1595	93543	FRENCH LICK, IN	SNM	341	341	100	100	3	0	N	0.00
FIRST CMNTY BANK NA/FIRST SAN BENITO BSHRS CORP	1596	334264	SAN BENITO, TX	NAT	341	341	100	100	8	0	N	0.00
SAGE CAP BK NA/ANB BSHRS	1597	448554	GONZALES, TX	NAT	340	340	100	100	5	0	N	0.00
FIRST ST B&TC/FIRST ST BC INC CBR PLAN	1598	489548	CARUTHERSVILLE, MO	SMB	340	340	100	100	4	0	N	0.00
FIRST COMMONS BK NA/	1599	3955053	NEWTON CENTER, MA	NAT	339	339	100	100	1	0	N	0.00
CITY ST BK/ALBRECHT FS	1600	252041	NORWALK, IA	SNM	339	339	100	100	6	0	N	0.00
FARMERS & MRCH UNION BK/JEWEL BOX FS	1601	51842	COLUMBUS, WI	SNM	339	339	100	100	5	0	N	0.00
FIRST NB/FIRST WAVERLY CORP	1602	376442	WAVERLY, IA	NAT	339	339	100	100	5	0	N	0.00
FRIENDSHIP ST BK/FRIENDSHIP BC	1603	427241	FRIENDSHIP, IN	SMB	339	339	100	100	7	0	N	0.00
BANK OF CMRC & TC/	1604	476539	CROWLEY, LA	SNM	338	338	100	100	4	0	N	0.00
FIRST NB IN OLNEY/SUMMIT BSHRS	1605	412845	OLNEY, IL	NAT	338	338	100	100	5	0	N	0.00
FREEDOM BK/	1606	3729124	MAYWOOD, NJ	SNM	338	338	100	100	1	0	N	0.00
FIRST NB OF LAS ANIMAS/FIRST BSHRS	1607	513256	LAS ANIMAS, CO	NAT	338	338	100	100	5	0	N	0.00
INSBANK/INSCORP	1608	2877345	NASHVILLE, TN	SMB	337	337	100	100	0	0	N	0.00
FALLS CITY NB/	1609	441050	FALLS CITY, TX	NAT	337	337	100	100	2	0	N	0.00
PROGRESSIVE BK NA/FIRST WV BC	1610	600129	WHEELING, WV	NAT	337	337	100	100	9	0	N	0.00
STERLING ST BK AUSTIN MN/STERLING FNCL GROUP	1611	144155	AUSTIN, MN	SNM	337	337	100	100	8	0	N	0.00
CROSS KEYS BK/BSJ BSHRS	1612	755252	SAINT JOSEPH, LA	SNM	337	337	100	100	8	0	N	0.00
PLATTE VALLEY BK/PLATTE VALLEY FS CO	1613	580155	TORRINGTON, WY	SMB	337	337	100	100	5	0	N	0.00
COUNTY BK/CB FNCL CORP	1614	1459735	REHOBOTH BEACH, DE	SNM	336	336	100	100	6	0	N	0.00
IOWA ST BK/CLARKEL	1615	865142	CLARKSVILLE, IA	SNM	336	336	100	100	2	0	N	0.00
HOMESTAR BK & FS/HOMESTAR FNCL GRP	1616	300036	MANTENO, IL	SNM	335	335	100	100	4	0	N	0.00
CBBC BK/TWIN CITIES FNCL SVC	1617	218131	MARYVILLE, TN	SNM	335	335	100	100	8	0	N	0.00
TERRABANK NA/	1618	238737	MIAMI, FL	NAT	335	335	100	100	2	0	N	0.00
NEW ERA BK/NEW ERA BC	1619	1014657	FREDERICKTOWN, MO	SNM	335	335	100	100	7	0	N	0.00
BANK OF SUN PRAIRIE/BOSP BSHRS	1620	124344	SUN PRAIRIE, WI	SNM	335	335	100	100	3	0	N	0.00
MCCOOK NB/GRAFF FAM	1621	575759	MCCOOK, NE	NAT	335	335	100	100	4	0	N	0.00
